District Code,State,White,Asian,Black,Hispanic,Other,18 to 29,30 to 49,50 to 69,70+,HS or less,Some college,Associate's,Bachelor's or greater,25k or less,25k to 50k,50k to 75k,75k to 100k,100k or greater
AK-01,AK,421758,61460,35454,49824,178955,108834,198870,173763,55651,171815,121302,43357,149397,32009,39472,41544,37590,113761
AL-01,AL,519198,14424,126801,33476,24447,81508,175291,189134,94662,221815,109816,49349,121219,54567,59310,46176,36444,76980
AL-02,AL,298335,16843,364985,26535,15858,103611,174769,174184,79810,217589,100187,40028,121030,74567,65653,47063,29639,61684
AL-03,AL,502129,15755,156204,27470,17457,101333,174741,182562,84708,224202,108680,45654,109873,65096,59678,46862,34251,67728
AL-04,AL,575711,6614,56723,57537,24062,90860,172028,184677,91990,241577,104424,48893,98077,60959,61534,47009,35641,67065
AL-05,AL,486765,19813,138438,47408,28899,93888,183077,188137,80131,180234,102350,40990,175363,47308,55371,46998,36677,100084
AL-06,AL,510804,17229,133963,39453,16765,84843,191372,177501,77024,166483,98206,39538,184827,36541,46755,44965,36808,105036
AL-07,AL,278409,12099,387622,32168,11021,113147,172580,175311,76606,211005,103086,41569,122456,75979,64962,46045,31211,60504
AR-01,AR,551532,7852,139921,29297,22941,92512,182949,190684,95164,268582,113696,43000,90663,74349,71592,51772,33697,59229
AR-02,AR,498838,18424,166319,46673,24468,104569,190885,181248,85864,191406,108511,42773,165254,59714,69840,52097,37714,86485
AR-03,AR,509829,33269,31858,124073,58864,111125,200852,165038,72466,207242,97527,34391,152881,45703,60666,51309,38988,89845
AR-04,AR,503351,9013,157870,56804,27215,92590,177809,194767,98543,266300,117090,39350,93181,72605,73189,51006,35178,56716
AZ-01,AZ,555355,48562,36781,129929,30588,101392,202066,216866,114351,127493,119434,44803,298872,39915,54453,51643,43246,162626
AZ-02,AZ,439262,16397,25186,133934,190282,101064,176395,208365,120986,212644,149291,52589,138591,57748,64453,55454,39760,81674
AZ-03,AZ,155477,29025,99476,497430,45447,138132,229523,141471,42123,267150,95793,33069,87028,45228,59349,52854,37012,63809
AZ-04,AZ,438281,57732,59600,212504,44328,150857,211127,173237,77765,156565,133086,49852,201206,42515,60242,59339,46369,113118
AZ-05,AZ,532842,61660,41770,141062,27394,82942,214937,179220,87417,137376,124282,52782,206935,22629,35943,41797,38819,141899
AZ-06,AZ,501707,37198,41106,196567,33370,103375,177321,198410,139897,157261,139223,54341,215001,49419,64759,57524,45687,114290
AZ-07,AZ,226110,23815,43752,475267,52495,139171,197271,168235,75780,235442,118611,43500,105104,62222,69807,52396,36541,63810
AZ-08,AZ,510902,46829,50344,168012,29862,90802,189584,196808,128201,183097,145614,56438,176936,41525,58234,55253,43366,114134
AZ-09,AZ,456611,29914,48379,237548,37006,95251,199321,196518,114402,225784,153493,58492,121781,42038,56864,55370,43801,100202
CA-01,CA,462197,40391,20639,198815,51978,103504,187089,195979,99801,190573,137578,53975,150063,46680,53975,45288,35647,107089
CA-02,CA,533599,46719,18778,112645,53352,82082,180156,213914,117680,152821,131452,49587,218611,46533,51961,42223,34596,127927
CA-03,CA,435208,105091,54225,141407,36344,92989,200731,196312,94877,159711,127769,54536,198846,41087,46814,42610,35430,123705
CA-04,CA,384742,89643,28171,236841,38904,112532,184301,181321,90695,176064,118675,47950,162779,34178,40459,39925,35419,119208
CA-05,CA,424499,62902,24651,219949,45507,92441,192471,194687,97309,189422,141402,53088,148471,34436,44443,43456,36764,114911
CA-06,CA,386058,115196,70555,169635,40007,99496,212922,172244,73260,158601,127608,52586,173676,32778,40473,40935,36555,122356
CA-07,CA,305712,177508,82234,176798,42016,97103,201935,187051,83379,165498,125339,51260,182190,34864,37819,38620,34419,123347
CA-08,CA,233055,160486,120878,238586,39861,101326,207481,188013,80665,184546,125428,49753,168432,28570,35751,35264,35636,127634
CA-09,CA,194161,169287,104430,288030,41552,109794,203731,171087,65425,219750,117432,48708,109859,28225,34015,34533,33071,105335
CA-10,CA,374313,182863,42013,151209,26364,78613,202704,196710,92775,112773,95558,43554,279611,22450,25046,24737,25636,176148
CA-11,CA,328242,262605,52253,107106,20225,115866,261051,166682,84653,116641,67512,28564,378279,45512,30143,26423,26864,198285
CA-12,CA,249406,186168,140008,179534,30857,115495,233299,166701,77170,140108,80755,30617,289007,41736,36335,33699,29754,146609
CA-13,CA,158370,66468,38827,492863,44755,113121,195144,144481,53582,276061,89231,30032,54532,38943,46029,39009,30473,59442
CA-14,CA,185775,341689,46588,177264,32967,87402,232088,181953,72087,150247,86559,36272,263500,18665,20302,23242,24018,159377
CA-15,CA,216763,300594,28846,201867,30861,94407,222128,189557,85578,158366,90343,38810,264374,20522,24048,24996,23779,161955
CA-16,CA,322755,254704,22413,151126,21393,87615,206005,189006,85020,105092,67496,30995,322393,21037,22235,22688,21154,178432
CA-17,CA,162408,439749,22677,130456,19652,118150,243664,162877,62649,107827,61834,34737,337836,19313,17228,20003,20924,187070
CA-18,CA,143922,95404,22198,500484,41447,115329,210127,160911,58193,246507,91777,36054,111222,23638,30847,30129,28457,101914
CA-19,CA,366442,165500,26816,187658,30642,99423,190460,197114,94641,125457,107369,49724,244613,23048,31536,29204,29286,154772
CA-20,CA,358483,59802,34994,288988,39706,99416,197966,164269,71242,180073,128260,51302,125327,34334,43711,39423,34303,101658
